document_id,Title,Agency,File Group,Output Path,pca_1,pca_2,cluster
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_1__Papua_New_Guinea__January_28__1985.pdf,-0.13233612,0.08840649,2
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_2__Kazakhstan__January_31__1994.pdf,-0.13769117,0.09962558,2
doc_0001,59_214434_SP 16 [7.18.1963],Department of State,PDF,ufo_release/Department of State/PDF/59_214434_SP_16__7_18_1963_.pdf,-0.12361082,0.22695069,3
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,ufo_release/Department of State/PDF/59_64634_711_5612_7-2852.pdf,-0.118436776,0.23800421,3
doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_4__Ashgabat__Turkmenistan__November_5__2004.pdf,-0.1722069,0.084593825,2
doc_0007,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_5__Mexico__September_16__2003.pdf,-0.10028857,0.06901905,2
doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_3__Tbilisi__Georgia__October_30__2001.pdf,-0.16794218,0.07412795,2
doc_0009,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,-0.13808727,0.24288712,3
doc_0008,USPER Statement about UAP Sighting,Department of State,PDF,ufo_release/Department of State/PDF/USPER_Statement_about_UAP_Sighting.pdf,-0.03069879,0.008785451,2
doc_0010,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,-0.139386,0.23806253,3
doc_0011,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,-0.15630881,0.18159461,3
doc_0012,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,-0.13868862,0.18039052,3
doc_0014,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,-0.15011154,0.2451105,3
doc_0013,"341_110677_Numerical_File,_5-2500",Department of War,PDF,ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf,-0.1498494,0.16126099,2
doc_0015,38_143685_box7_Incident_Summaries_1-100,Department of War,PDF,ufo_release/Department of War/PDF/38_143685_box7_Incident_Summaries_1-100.pdf,-0.14867866,0.24030697,3
