method,seed,n_clusters,agency_purity,modality_purity,cluster_size_min,cluster_size_max,silhouette,davies_bouldin,calinski_harabasz,run_id
KMeans,0,5,0.8238993710691824,0.8427672955974843,7,69,0.39566150307655334,1.4376601655552168,29.245267868041992,kmeans_s0
GaussianMixture,0,5,0.8238993710691824,0.8427672955974843,7,69,0.39979010820388794,1.4254683410084854,29.174165725708008,gmm_s0
Spectral,0,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s0
KMeans,1,5,0.8301886792452831,0.8867924528301887,20,49,0.3419153094291687,1.9969461643927944,30.82805061340332,kmeans_s1
GaussianMixture,1,5,0.8238993710691824,0.8867924528301887,20,50,0.3404432237148285,2.008642854503253,30.685163497924805,gmm_s1
Spectral,1,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s1
KMeans,2,5,0.7735849056603774,0.8867924528301887,11,51,0.3375946581363678,1.7860271385854667,29.8175106048584,kmeans_s2
GaussianMixture,2,5,0.7735849056603774,0.8867924528301887,11,51,0.3375946581363678,1.7860271385854667,29.8175106048584,gmm_s2
Spectral,2,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s2
KMeans,3,5,0.7735849056603774,0.9622641509433962,8,55,0.2901178002357483,1.7556777638347842,29.288280487060547,kmeans_s3
GaussianMixture,3,5,0.7735849056603774,0.9622641509433962,8,55,0.2901178002357483,1.7556777638347842,29.288280487060547,gmm_s3
Spectral,3,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s3
KMeans,4,5,0.7735849056603774,0.9622641509433962,8,55,0.2901178002357483,1.7556777638347842,29.288280487060547,kmeans_s4
GaussianMixture,4,5,0.7735849056603774,0.9622641509433962,8,55,0.2901178002357483,1.7556777638347842,29.288280487060547,gmm_s4
Spectral,4,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s4
KMeans,5,5,0.8616352201257862,0.7547169811320755,6,62,0.3233356475830078,1.881086347000695,29.65955924987793,kmeans_s5
GaussianMixture,5,5,0.8553459119496856,0.7547169811320755,6,62,0.32227611541748047,1.9013881547494642,29.62819480895996,gmm_s5
Spectral,5,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s5
KMeans,6,5,0.8742138364779874,0.9056603773584906,24,46,0.39352521300315857,1.8711165022667093,34.263023376464844,kmeans_s6
GaussianMixture,6,5,0.8553459119496856,0.9056603773584906,24,44,0.39161109924316406,1.9046769511905424,34.343017578125,gmm_s6
Spectral,6,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s6
KMeans,7,5,0.7610062893081762,0.8867924528301887,9,46,0.30137261748313904,1.9413284783875517,29.094274520874023,kmeans_s7
GaussianMixture,7,5,0.7610062893081762,0.8867924528301887,9,48,0.29898345470428467,1.9229918418828604,28.99213409423828,gmm_s7
Spectral,7,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348176956176758,spectral_s7
KMeans,8,5,0.8616352201257862,0.9056603773584906,24,45,0.38153302669525146,1.9017895138887564,34.03806686401367,kmeans_s8
GaussianMixture,8,5,0.8490566037735849,0.9056603773584906,24,44,0.37522879242897034,1.9204519472060135,33.863929748535156,gmm_s8
Spectral,8,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s8
KMeans,9,5,0.8364779874213837,0.7924528301886793,7,69,0.4078000485897064,1.5846860474876032,30.03534698486328,kmeans_s9
GaussianMixture,9,5,0.8301886792452831,0.7924528301886793,7,70,0.40450602769851685,1.588690077488331,29.823352813720703,gmm_s9
Spectral,9,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s9
