document_id,title,agency,file_group,graph_community,degree,weighted_degree,betweenness,pca_1,pca_2
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,0,8,6.800784409046173,0.004595662339756511,-0.13233612477779388,0.08840648829936981
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,0,8,6.973147392272949,0.01185197129726679,-0.1376911699771881,0.09962558001279831
doc_0001,59_214434_SP 16 [7.18.1963],Department of State,PDF,1,9,7.999908924102783,0.0029831492380875593,-0.12361081689596176,0.22695069015026093
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,1,8,7.111602544784546,0.0,-0.1184367761015892,0.23800420761108398
doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,0,8,6.875519692897797,0.0006450052406675804,-0.17220689356327057,0.08459382504224777
doc_0007,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,0,8,6.884864151477814,0.002015641377086189,-0.10028856992721558,0.06901904940605164
doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,0,8,6.949681401252747,0.005563170200757881,-0.16794218122959137,0.07412794977426529
doc_0009,18_100754_ General 1946-7_Vol_2,Department of War,PDF,1,11,10.065409481525421,0.0001612513101668951,-0.13808727264404297,0.24288712441921234
doc_0008,USPER Statement about UAP Sighting,Department of State,PDF,0,8,6.874417304992676,0.0,-0.030698789283633232,0.008785450831055641
doc_0010,18_6369445_General_1948_Vol_1,Department of War,PDF,1,11,10.07032859325409,0.004353785374506168,-0.13938599824905396,0.2380625307559967
doc_0011,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,1,9,8.039837956428528,0.0,-0.15630881488323212,0.1815946102142334
doc_0012,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,1,9,7.937103033065796,0.0,-0.13868862390518188,0.18039052188396454
doc_0014,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,1,19,17.367280423641205,0.09263887769088124,-0.15011154115200043,0.24511049687862396
doc_0013,"341_110677_Numerical_File,_5-2500",Department of War,PDF,1,9,7.747367858886719,0.0010481335160848182,-0.14984939992427826,0.16126099228858948
doc_0015,38_143685_box7_Incident_Summaries_1-100,Department of War,PDF,1,12,11.116496205329895,8.062565508344755e-05,-0.14867866039276123,0.24030697345733643
doc_0016,38_143685_box_Incident_Summaries_101-172,Department of War,PDF,1,14,12.878051459789276,0.005160041925340643,-0.1459634155035019,0.241817906498909
doc_0017,38_143685_box_Incident_Summaries_173-233,Department of War,PDF,1,12,10.986586809158325,0.0,-0.15113893151283264,0.2427944391965866
doc_0019,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",Department of War,PDF,0,8,7.58391946554184,8.062565508344755e-05,-0.1869918256998062,-0.10720205307006836
doc_0018,"DOW-UAP-D12, Mission Report, Iraq, May 2022",Department of War,PDF,0,9,8.492754876613617,0.00024187696525034265,-0.19688443839550018,-0.12378688156604767
doc_0021,"DOW-UAP-D25, Mission Report, Greece, January 2024",Department of War,PDF,0,9,8.395629465579987,0.004918164960090301,-0.17213377356529236,-0.13371922075748444
doc_0022,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",Department of War,PDF,0,17,15.716670155525208,0.022817060388615657,-0.18267984688282013,-0.14757125079631805
doc_0024,"DOW-UAP-D3, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0,18,16.4867947101593,0.06022736434733532,-0.163674458861351,-0.13686808943748474
doc_0023,"DOW-UAP-D28, Mission Report, Iraq, September 2024",Department of War,PDF,0,8,7.565169095993042,0.006530678061759252,-0.16837382316589355,-0.14012210071086884
doc_0020,"DOW-UAP-D20, Mission Report, Southern United States, 2020",Department of War,PDF,0,8,7.5181127190589905,0.0,-0.16788065433502197,-0.13559122383594513
doc_0026,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",Department of War,PDF,0,8,7.438285708427429,0.0006450052406675804,-0.11706701666116714,-0.12194173038005829
doc_0025,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",Department of War,PDF,0,8,7.3124173283576965,0.0,-0.06972246617078781,-0.11922410130500793
doc_0027,"DOW-UAP-D48, Department of the Air Force Report, 1996",Department of War,PDF,1,8,6.972517609596252,0.09562202692896879,-0.13942621648311615,0.06101234629750252
doc_0028,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",Department of War,PDF,1,8,6.87519383430481,0.008223816818511651,-0.11471744626760483,0.06294884532690048
