document_id,title,agency,file_group,neighbor_rank,neighbor_document_id,neighbor_title,neighbor_agency,neighbor_file_group,cosine_distance,cosine_similarity
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,1,doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,0.11067801713943481,0.8893219828605652
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,2,doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,0.13310033082962036,0.8668996691703796
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,3,doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,0.14490067958831787,0.8550993204116821
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,4,doc_0007,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,0.1466272473335266,0.8533727526664734
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,5,doc_0143,FBI September 2023 Sighting - Serial 5,FBI,PDF,0.16226094961166382,0.8377390503883362
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,6,doc_0142,FBI September 2023 Sighting - Serial 4,FBI,PDF,0.1666368842124939,0.8333631157875061
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,7,doc_0044,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Department of War,PDF,0.16728723049163818,0.8327127695083618
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,8,doc_0141,FBI September 2023 Sighting - Serial 3,FBI,PDF,0.16772425174713135,0.8322757482528687
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,1,doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,0.08764821290969849,0.9123517870903015
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,2,doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,0.10624176263809204,0.893758237361908
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,3,doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,0.11067801713943481,0.8893219828605652
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,4,doc_0007,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,0.1368793249130249,0.8631206750869751
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,5,doc_0143,FBI September 2023 Sighting - Serial 5,FBI,PDF,0.13843870162963867,0.8615612983703613
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,6,doc_0142,FBI September 2023 Sighting - Serial 4,FBI,PDF,0.14702504873275757,0.8529749512672424
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,7,doc_0141,FBI September 2023 Sighting - Serial 3,FBI,PDF,0.14880359172821045,0.8511964082717896
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,8,doc_0153,"NASA-UAP-D2, Apollo 17 Transcript, 1972",NASA,PDF,0.15113794803619385,0.8488620519638062
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,1,doc_0001,59_214434_SP 16 [7.18.1963],Department of State,PDF,0.021811962127685547,0.9781880378723145
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,2,doc_0108,65_HS1-834228961_62-HQ-83894_Section_9,FBI,PDF,0.12012702226638794,0.8798729777336121
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,3,doc_0106,65_HS1-834228961_62-HQ-83894_Section_7,FBI,PDF,0.12048524618148804,0.879514753818512
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,4,doc_0107,65_HS1-834228961_62-HQ-83894_Section_8,FBI,PDF,0.12059319019317627,0.8794068098068237
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,5,doc_0100,65_HS1-834228961_62-HQ-83894_Section_10,FBI,PDF,0.12203395366668701,0.877966046333313
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,6,doc_0105,65_HS1-834228961_62-HQ-83894_Section_6,FBI,PDF,0.12369811534881592,0.8763018846511841
