rank,document_id,title,agency,file_group,ensemble_uniqueness,nearest_neighbor_1,nearest_neighbor_2,nearest_neighbor_3,distances,output_path
1,doc_0140,FBI September 2023 Sighting - Composite Sketch,FBI,PDF,0.9853249475890984,FBI Photo B23,FBI Photo B13,FBI Photo B22,"[0.1445, 0.1494, 0.1537]",ufo_release/FBI/PDF/FBI_September_2023_Sighting_-_Composite_Sketch.pdf
2,doc_0159,255-t-763-r1b-excerpt,NASA,VID,0.980083857442348,255_t_763_r1b_transcripts,"NASA-UAP-D3, Gemini 7 Transcript, 1965","DOW-UAP-PR46, Unresolved UAP Report, INDOPACOM, 2024","[0.1527, 0.1736, 0.178]",ufo_release/NASA/VID/255-t-763-r1b-excerpt.mp4
3,doc_0096,65_HS1-101634279_100-DE-18221_Serial_844,FBI,PDF,0.9570230607966456,65_HS1-101634279_100-DE-26505,65_HS1-834228961_62-HQ-83894_Section_8,65_HS1-834228961_62-HQ-83894_Section_9,"[0.108, 0.113, 0.1188]",ufo_release/FBI/PDF/65_HS1-101634279_100-DE-18221_Serial_844.pdf
4,doc_0013,"341_110677_Numerical_File,_5-2500",Department of War,PDF,0.931865828092243,342_HS1-416511228_319.1 Flying Discs 1949,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,18_100754_ General 1946-7_Vol_2,"[0.127, 0.1295, 0.1379]",ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf
5,doc_0156,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",NASA,PDF,0.9245283018867924,"NASA-UAP-D2, Apollo 17 Transcript, 1972","NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969","NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973","[0.077, 0.0881, 0.0889]",ufo_release/NASA/PDF/NASA-UAP-D5__Apollo_17_Crew_Debriefing_for_Science__1973.pdf
6,doc_0113,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,PDF,0.9129979035639412,65_HS1-834228961_62-HQ-83894_Section_10,65_HS1-834228961_62-HQ-83894_Section_8,65_HS1-834228961_62-HQ-83894_Section_9,"[0.0866, 0.0884, 0.0885]",ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_403.pdf
7,doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,0.8742138364779874,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","[0.1107, 0.1331, 0.1449]",ufo_release/Department of State/PDF/State_Department_UAP_Cable_1__Papua_New_Guinea__January_28__1985.pdf
8,doc_0151,255_t_763_r1b_transcripts,NASA,PDF,0.869496855345912,"NASA-UAP-D3, Gemini 7 Transcript, 1965","NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973","NASA-UAP-D2, Apollo 17 Transcript, 1972","[0.0491, 0.1076, 0.1082]",ufo_release/NASA/PDF/255_t_763_r1b_transcripts.pdf
9,doc_0150,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For,NASA,PDF,0.8626834381551362,"NASA-UAP-D2, Apollo 17 Transcript, 1972","NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969","NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973","[0.1233, 0.1248, 0.127]",ufo_release/NASA/PDF/255_413270_UFO_s_and_Defense_What_Should_we_Prepare_For.pdf
10,doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,0.8590146750524109,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 5, Mexico, September 16, 2003","[0.0876, 0.1099, 0.1323]",ufo_release/Department of State/PDF/State_Department_UAP_Cable_4__Ashgabat__Turkmenistan__November_5__2004.pdf
