Title,Agency,Release Date,Incident Date,Incident Location,PDF | Image Link,Type,Document Link,Source Filename,File Group,Output Path
65_HS1-834228961_62-HQ-83894_Section_10,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_10.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_10.pdf,65_HS1-834228961_62-HQ-83894_Section_10.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_10.pdf
65_HS1-834228961_62-HQ-83894_Section_2,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_2.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_2.pdf,65_HS1-834228961_62-HQ-83894_Section_2.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_2.pdf
65_HS1-834228961_62-HQ-83894_Section_3,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_3.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_3.pdf,65_HS1-834228961_62-HQ-83894_Section_3.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_3.pdf
65_HS1-834228961_62-HQ-83894_Section_4,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_4.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_4.pdf,65_HS1-834228961_62-HQ-83894_Section_4.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_4.pdf
65_HS1-834228961_62-HQ-83894_Section_5,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_5.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_5.pdf,65_HS1-834228961_62-HQ-83894_Section_5.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_5.pdf
65_HS1-834228961_62-HQ-83894_Section_6,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_6.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_6.pdf,65_HS1-834228961_62-HQ-83894_Section_6.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_6.pdf
65_HS1-834228961_62-HQ-83894_Section_7,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_7.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_7.pdf,65_HS1-834228961_62-HQ-83894_Section_7.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_7.pdf
65_HS1-834228961_62-HQ-83894_Section_9,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_9.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Section_9.pdf,65_HS1-834228961_62-HQ-83894_Section_9.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_9.pdf
65_HS1-834228961_62-HQ-83894_Serial_130,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_130.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_130.pdf,65_HS1-834228961_62-HQ-83894_Serial_130.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_130.pdf
65_HS1-834228961_62-HQ-83894_Serial_153,FBI,5/8/26,,,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,PDF,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,65_HS1-834228961_62-HQ-83894_Serial_153.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_153.pdf
65_HS1-834228961_62-HQ-83894_Serial_164,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_164.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_164.pdf,65_HS1-834228961_62-HQ-83894_Serial_164.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_164.pdf
65_HS1-834228961_62-HQ-83894_Serial_220,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_220.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_220.pdf,65_HS1-834228961_62-HQ-83894_Serial_220.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_220.pdf
65_HS1-834228961_62-HQ-83894_Serial_403,FBI,5/8/26,,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_403.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/65_HS1-834228961_62-HQ-83894_Serial_403.pdf,65_HS1-834228961_62-HQ-83894_Serial_403.pdf,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_403.pdf
